Fecha,Por dia
30 ene 2021,687
31 ene 2021,355
1 feb 2021,424
2 feb 2021,356
3 feb 2021,325
4 feb 2021,648
5 feb 2021,584
6 feb 2021,934
7 feb 2021,378
8 feb 2021,311
9 feb 2021,417
10 feb 2021,642
11 feb 2021,697
12 feb 2021,470
13 feb 2021,468
14 feb 2021,296
15 feb 2021,376
16 feb 2021,239
17 feb 2021,316
18 feb 2021,591
19 feb 2021,477
20 feb 2021,437
21 feb 2021,179
22 feb 2021,124
23 feb 2021,320
24 feb 2021,411
25 feb 2021,519
26 feb 2021,473
27 feb 2021,395
28 feb 2021,164
1 mar 2021,80
2 mar 2021,415
3 mar 2021,449
4 mar 2021,337
5 mar 2021,324
6 mar 2021,478
7 mar 2021,147
8 mar 2021,172
9 mar 2021,347
10 mar 2021,370
11 mar 2021,268
12 mar 2021,292
13 mar 2021,460
14 mar 2021,115
15 mar 2021,145
16 mar 2021,256
17 mar 2021,155
18 mar 2021,387
19 mar 2021,261
20 mar 2021,428
21 mar 2021,133
22 mar 2021,228
23 mar 2021,95
24 mar 2021,275
25 mar 2021,379
26 mar 2021,305
27 mar 2021,301
28 mar 2021,71
29 mar 2021,61
30 mar 2021,187
31 mar 2021,318
1 abr 2021,171
2 abr 2021,65
3 abr 2021,29
4 abr 2021,35
5 abr 2021,46
6 abr 2021,167
7 abr 2021,194
8 abr 2021,206
9 abr 2021,172
10 abr 2021,145
11 abr 2021,42
12 abr 2021,35
13 abr 2021,135
14 abr 2021,186
15 abr 2021,115
16 abr 2021,127
17 abr 2021,118
18 abr 2021,26
19 abr 2021,32
20 abr 2021,92
21 abr 2021,105
22 abr 2021,105
23 abr 2021,80
24 abr 2021,94
25 abr 2021,36
26 abr 2021,21
27 abr 2021,109
28 abr 2021,122
29 abr 2021,125
30 abr 2021,86
1 may 2021,84
2 may 2021,13
3 may 2021,15
4 may 2021,85
5 may 2021,88
6 may 2021,38
7 may 2021,75
8 may 2021,97
9 may 2021,14
10 may 2021,12
11 may 2021,35
12 may 2021,68
13 may 2021,38
14 may 2021,73
15 may 2021,76
16 may 2021,11
17 may 2021,4
18 may 2021,77
19 may 2021,38
20 may 2021,50
21 may 2021,43
22 may 2021,74
23 may 2021,10
24 may 2021,2
25 may 2021,36
26 may 2021,69
27 may 2021,55
28 may 2021,46
29 may 2021,54
30 may 2021,5
31 may 2021,9
1 jun 2021,39
2 jun 2021,41
3 jun 2021,28
4 jun 2021,44
5 jun 2021,33
6 jun 2021,6
7 jun 2021,2
8 jun 2021,42
9 jun 2021,41
10 jun 2021,42
11 jun 2021,72
12 jun 2021,38
13 jun 2021,7
14 jun 2021,8
15 jun 2021,48
16 jun 2021,53
17 jun 2021,38
18 jun 2021,33
19 jun 2021,50
20 jun 2021,2
21 jun 2021,2
22 jun 2021,33
23 jun 2021,60
24 jun 2021,43
25 jun 2021,38
26 jun 2021,39
27 jun 2021,3
28 jun 2021,1
29 jun 2021,32
30 jun 2021,67
1 jul 2021,46
2 jul 2021,41
3 jul 2021,37
4 jul 2021,2
5 jul 2021,4
6 jul 2021,68
7 jul 2021,112
8 jul 2021,105
9 jul 2021,125
10 jul 2021,85
11 jul 2021,57
12 jul 2021,28
13 jul 2021,95
14 jul 2021,128
15 jul 2021,116
16 jul 2021,121
17 jul 2021,168
18 jul 2021,136
19 jul 2021,139
20 jul 2021,175
21 jul 2021,182
22 jul 2021,168
23 jul 2021,177
24 jul 2021,187
25 jul 2021,193
26 jul 2021,212
27 jul 2021,226
28 jul 2021,228
29 jul 2021,217
30 jul 2021,233
31 jul 2021,246
1 ago 2021,204
2 ago 2021,246
3 ago 2021,271
4 ago 2021,324
5 ago 2021,337
6 ago 2021,318
7 ago 2021,375
8 ago 2021,340
9 ago 2021,377
10 ago 2021,402
11 ago 2021,415
12 ago 2021,571
13 ago 2021,569
14 ago 2021,554
15 ago 2021,577
16 ago 2021,581
17 ago 2021,691
18 ago 2021,672
19 ago 2021,658
20 ago 2021,651
21 ago 2021,633
22 ago 2021,586
23 ago 2021,641
24 ago 2021,821
25 ago 2021,837
26 ago 2021,814
27 ago 2021,788
28 ago 2021,818
29 ago 2021,786
30 ago 2021,751
31 ago 2021,741
1 sept 2021,827
2 sept 2021,803
3 sept 2021,827
4 sept 2021,791
5 sept 2021,544
6 sept 2021,145
7 sept 2021,758
8 sept 2021,771
9 sept 2021,736
10 sept 2021,717
11 sept 2021,693
12 sept 2021,592
13 sept 2021,164
14 sept 2021,723
15 sept 2021,668
16 sept 2021,675
17 sept 2021,431
18 sept 2021,624
19 sept 2021,259
20 sept 2021,125
21 sept 2021,671
22 sept 2021,733
23 sept 2021,683
24 sept 2021,742
25 sept 2021,692
26 sept 2021,745
27 sept 2021,540
28 sept 2021,693
29 sept 2021,701
30 sept 2021,671
1 oct 2021,714
2 oct 2021,742
3 oct 2021,553
4 oct 2021,317
5 oct 2021,683
6 oct 2021,703
7 oct 2021,674
8 oct 2021,632
9 oct 2021,547
10 oct 2021,515
11 oct 2021,467
12 oct 2021,531
13 oct 2021,487
14 oct 2021,527
15 oct 2021,501
16 oct 2021,511
17 oct 2021,475
18 oct 2021,420
19 oct 2021,511
20 oct 2021,469
21 oct 2021,515
22 oct 2021,429
23 oct 2021,423
24 oct 2021,370
25 oct 2021,247
26 oct 2021,401
27 oct 2021,484
28 oct 2021,406
29 oct 2021,387
30 oct 2021,337
31 oct 2021,238
1 nov 2021,288
2 nov 2021,338
3 nov 2021,307
4 nov 2021,350
5 nov 2021,348
6 nov 2021,309
7 nov 2021,150
8 nov 2021,119
9 nov 2021,366
10 nov 2021,375
11 nov 2021,348
12 nov 2021,290
13 nov 2021,264
14 nov 2021,90
15 nov 2021,31
16 nov 2021,49
17 nov 2021,350
18 nov 2021,372
19 nov 2021,386
20 nov 2021,301
21 nov 2021,179
22 nov 2021,43
23 nov 2021,373
24 nov 2021,373
25 nov 2021,330
26 nov 2021,268
27 nov 2021,247
28 nov 2021,137
29 nov 2021,26
30 nov 2021,334
1 dic 2021,274
2 dic 2021,314
3 dic 2021,279
4 dic 2021,214
5 dic 2021,100
6 dic 2021,85
7 dic 2021,347
8 dic 2021,340
9 dic 2021,296
10 dic 2021,286
11 dic 2021,226
12 dic 2021,61
13 dic 2021,59
14 dic 2021,256
15 dic 2021,307
16 dic 2021,261
17 dic 2021,254
18 dic 2021,265
19 dic 2021,43
20 dic 2021,53
21 dic 2021,272
22 dic 2021,243
23 dic 2021,255
24 dic 2021,296
25 dic 2021,232
26 dic 2021,176
27 dic 2021,30
28 dic 2021,302
29 dic 2021,319
30 dic 2021,352
31 dic 2021,424
1 ene 2022,456
2 ene 2022,471
3 ene 2022,135
4 ene 2022,472
5 ene 2022,597
6 ene 2022,612
7 ene 2022,721
8 ene 2022,717
9 ene 2022,814
10 ene 2022,1212
11 ene 2022,1327
12 ene 2022,1473
13 ene 2022,1589
14 ene 2022,1615
15 ene 2022,1742
16 ene 2022,1691
17 ene 2022,1821
18 ene 2022,2026
19 ene 2022,2071
20 ene 2022,2110
21 ene 2022,2219
22 ene 2022,2171
23 ene 2022,1742
24 ene 2022,1667
25 ene 2022,1954
26 ene 2022,2285
27 ene 2022,2067
28 ene 2022,2156
29 ene 2022,1788
30 ene 2022,982
31 ene 2022,382
1 feb 2022,2127
2 feb 2022,1818
3 feb 2022,1911
4 feb 2022,1646
5 feb 2022,1429
6 feb 2022,577
7 feb 2022,358
8 feb 2022,264
9 feb 2022,1565
10 feb 2022,1856
11 feb 2022,1689
12 feb 2022,1343
13 feb 2022,150
14 feb 2022,240
15 feb 2022,1159
16 feb 2022,1091
17 feb 2022,1068
18 feb 2022,971
19 feb 2022,669
20 feb 2022,132
21 feb 2022,127
22 feb 2022,988
23 feb 2022,1193
24 feb 2022,973
25 feb 2022,1067
26 feb 2022,635
27 feb 2022,125
28 feb 2022,393
1 mar 2022,592
2 mar 2022,395
3 mar 2022,413
4 mar 2022,459
5 mar 2022,506
6 mar 2022,30
7 mar 2022,30
8 mar 2022,379
9 mar 2022,333
